metabolism_mean,vision,Total Population,Gini Coefficient
1,6,4338,0.23580780899443976
5,6,2723,0.3624365214429375
1,8,4436,0.22059159941979645
1,8,4415,0.23782798761721424
5,6,2748,0.3667292873730372
5,8,2780,0.359799511086629
6,11,2702,0.359001111764915
9,11,2544,0.3369891300850545
6,3,2606,0.34630350405346877
6,3,2598,0.35351046666474684
9,11,2543,0.3153964633695685
9,3,2519,0.28278124674146055
1,6,4416,0.21846951948017068
5,6,2740,0.3845128661916568
1,8,4461,0.219243659033586
1,8,4532,0.22233443686464227
5,6,2754,0.360942112374824
5,8,2808,0.3315108020247042
6,11,2695,0.3401323746771754
9,11,2542,0.3076698947797445
6,3,2618,0.40227292367687717
6,3,2599,0.36434701431404615
9,11,2545,0.30508181033506165
9,3,2520,0.2997585581745248
