metabolism_mean,vision,Total Population,Gini Coefficient
2,7,4012,0.2574465193716553
4,7,3095,0.41011677740665564
2,9,4034,0.2553806069161346
2,9,4123,0.24357693173625994
4,7,3148,0.3842395890648911
4,9,3151,0.35237086532685846
5,12,2919,0.3527480515500889
7,12,2645,0.2988527845844744
5,3,2774,0.4203285051638801
5,3,2800,0.3326714399951558
7,12,2585,0.28784897709084345
7,3,2520,0.34130084937197225
7,4,2533,0.3776361065334175
3,4,3527,0.3762837279090596
7,11,2607,0.3526752317149757
7,11,2615,0.32990703564333645
3,4,3418,0.39771279814462734
3,11,3482,0.4074331350063338
4,9,3124,0.3642451682991219
6,9,2705,0.3312543451470198
4,6,3157,0.34631151771501867
4,6,3116,0.4043071227230457
6,9,2698,0.3309073625375041
6,6,2660,0.3835092931568118
2,7,3982,0.2522795656034462
4,7,3130,0.3766214334865172
2,9,4032,0.23442708923430677
2,9,4058,0.24742479300435005
4,7,3066,0.36183099841139166
4,9,3083,0.3839806437218356
5,12,2893,0.3366636724471912
7,12,2624,0.3287461575216455
5,3,2781,0.3751974520285448
5,3,2773,0.36503273779249046
7,12,2611,0.2923069305593229
7,3,2504,0.44726982041108787
7,4,2500,0.0
3,4,3338,0.40383106162212945
7,11,2616,0.33340495865904884
7,11,2615,0.34628580437437106
3,4,3317,0.40580519856706654
3,11,3499,0.3831888932488994
4,9,3145,0.36211802912250435
6,9,2687,0.31673635354987595
4,6,3156,0.3719363286063202
4,6,3113,0.3893387902619083
6,9,2714,0.3254361092540825
6,6,2678,0.35760107904038896
2,7,3963,0.23894434452157287
4,7,3059,0.3612581415382119
2,9,4009,0.24303654990828027
2,9,4041,0.24228737170051118
4,7,3108,0.3673030800666157
4,9,3128,0.36840313866986096
5,12,2885,0.350599815707763
7,12,2599,0.2881623513407945
5,3,2786,0.3780686719338453
5,3,2764,0.3628822489276762
7,12,2609,0.3354468871053291
7,3,2500,0.0
7,4,2523,0.3723153876314549
3,4,3377,0.3925728134674764
7,11,2596,0.3457430559616752
7,11,2600,0.34480587245156746
3,4,3405,0.4026404689553764
3,11,3535,0.3932859756881184
4,9,3145,0.35970634130205115
6,9,2693,0.3030901956950758
4,6,3093,0.4192221848255986
4,6,3118,0.3624750363893319
6,9,2722,0.32925289218315545
6,6,2657,0.3603497399579618
2,7,4079,0.2521880246480528
4,7,3139,0.35528285033927287
2,9,3871,0.23438058489203129
2,9,3944,0.24979118624904584
4,7,3072,0.36168118582453657
4,9,3147,0.37646761019752173
5,12,2898,0.3256995160330869
7,12,2615,0.3300998446419132
5,3,2764,0.36947129911959653
5,3,2773,0.3783047505635091
7,12,2600,0.31987637507281086
7,3,2505,0.3658015347854715
7,4,2514,0.35895360948473054
3,4,3377,0.4009856548639217
7,11,2620,0.33690391583015433
7,11,2600,0.3432616417722558
3,4,3366,0.3971405608125689
3,11,3446,0.39191255239916134
4,9,3126,0.3628463542645022
6,9,2712,0.3157397617180704
4,6,3064,0.387475514731777
4,6,3072,0.4012316645740128
6,9,2696,0.3289626183393799
6,6,2675,0.315225797689636
2,7,4045,0.24741921340342587
4,7,3171,0.3539112000857627
2,9,3901,0.24543646177390754
2,9,3916,0.23825424360664704
4,7,3088,0.3731381374798164
4,9,3101,0.39298178974388787
5,12,2895,0.304696003928719
7,12,2607,0.33547125356792273
5,3,2766,0.34316799923900176
5,3,2754,0.3703231631276691
7,12,2606,0.3232005637030835
7,3,2505,0.15997497959920426
7,4,2551,0.41060683671101406
3,4,3326,0.4158132018543246
7,11,2608,0.33252616222043785
7,11,2601,0.33776840085163085
3,4,3363,0.40427043433617715
3,11,3509,0.3817315170133686
4,9,3103,0.3916330639570278
6,9,2695,0.32336386961479113
4,6,3087,0.37889943697665296
4,6,3136,0.3553146928989559
6,9,2745,0.32348783905757994
6,6,2691,0.3872797056348076
2,7,3894,0.252926939993384
4,7,3128,0.3577675891312768
2,9,4172,0.23401045205564364
2,9,4059,0.23445361908778217
4,7,3128,0.3693594205299848
4,9,3146,0.33591534019399827
5,12,2960,0.3232133632977696
7,12,2616,0.36592246676551676
5,3,2796,0.35501524264500905
5,3,2751,0.3684628954205964
7,12,2603,0.29520780158912263
7,3,2500,0.0
7,4,2511,0.3148122997611271
3,4,3430,0.38884974260752125
7,11,2610,0.29050574077197444
7,11,2595,0.3770150421729619
3,4,3395,0.40986510138107723
3,11,3493,0.3850782322802404
4,9,3122,0.332095388309811
6,9,2697,0.33136064982892766
4,6,3064,0.3585862721643862
4,6,3105,0.39398451666219625
6,9,2725,0.35342698613002566
6,6,2666,0.3489574330960903
2,7,4147,0.252607566308757
4,7,3113,0.3641827498738417
2,9,3961,0.25868883690315947
2,9,3999,0.2387281200814757
4,7,3135,0.381255127224178
4,9,3136,0.3559337670170928
5,12,2914,0.3331256701171257
7,12,2603,0.30965849947393
5,3,2796,0.35973478890027244
5,3,2788,0.3473331986616992
7,12,2625,0.3483039910253709
7,3,2503,0.1026243607044981
7,4,2529,0.30568865225782416
3,4,3363,0.400567205292905
