metabolism_mean,vision,Total Population,Gini Coefficient
2,7,4310,0.25633586344756076
4,7,3227,0.46761404480175384
2,9,4201,0.2582108387750992
2,9,4263,0.25825927530295734
4,7,3174,0.4918462052146606
4,9,3196,0.4800626418311422
5,12,2984,0.45650004341060724
7,12,2689,0.39464526714227754
5,3,2946,0.4823590164065563
5,3,2973,0.4936689783740853
7,12,2681,0.39458423303161605
7,3,2666,0.4232443847793206
7,4,2674,0.4161806440965239
3,4,3489,0.4310558824486823
7,11,2693,0.4172783318446853
7,11,2681,0.36245868906232115
3,4,3520,0.42258231172475225
3,11,3657,0.4094574842556862
4,9,3171,0.4592648769000185
6,9,2821,0.410495524308637
4,6,3241,0.48519354904744016
4,6,3205,0.507409754989828
6,9,2859,0.396809901798862
6,6,2808,0.4330330429933611
4,3,3198,0.483507931217825
7,3,2622,0.4149542231657313
4,5,3249,0.45397094694316453
4,5,3135,0.48438460843830256
7,3,2652,0.43912770579903637
7,5,2695,0.41034368936535137
7,8,2657,0.41172310351510166
4,8,3179,0.49093396565423064
7,10,2689,0.42865453949895405
7,10,2688,0.3890758578929898
4,8,3234,0.48912617062965613
4,10,3234,0.4782313349615497
6,5,2821,0.4301532099750809
5,5,3021,0.43541506823581844
6,2,2750,0.4934185451166999
6,2,2810,0.4926923660218503
5,5,3011,0.47194702487275375
5,2,2953,0.4682246211419878
3,11,3578,0.3860803868130407
2,11,4252,0.2716556178542642
3,7,3559,0.4128836430690692
3,7,3537,0.4082793543596792
2,11,4207,0.24608788596690778
2,7,4379,0.2543772016983945
2,7,4293,0.2523886370551909
4,7,3204,0.4747626318567899
2,9,4273,0.26191522026827463
2,9,4279,0.24332081929276717
4,7,3177,0.49158721850247455
4,9,3230,0.47229183046093226
5,12,3017,0.48126222077979475
7,12,2695,0.37425526831776423
5,3,3003,0.49218700090088774
5,3,2965,0.48837676666246077
7,12,2700,0.3790746421916922
7,3,2653,0.3780017531473725
7,4,2690,0.3777311691602476
3,4,3529,0.42749837966532
7,11,2710,0.38430625274371355
7,11,2711,0.35903345976787904
3,4,3604,0.44248368966427565
3,11,3533,0.3816791122771668
4,9,3160,0.4718384517602754
6,9,2823,0.4404376854509471
4,6,3160,0.4679875648030136
4,6,3200,0.464661278715335
6,9,2815,0.44982930279943556
6,6,2843,0.4772230144093075
4,3,3176,0.49746788824865096
7,3,2642,0.3588130186130396
4,5,3205,0.48540588077266467
4,5,3229,0.4866566278460991
7,3,2650,0.3517344607792767
7,5,2667,0.41828084385316466
7,8,2665,0.4178815854708011
4,8,3219,0.4612244514462449
7,10,2708,0.43759799261000354
7,10,2677,0.4429383724825908
4,8,3182,0.4610041042373709
4,10,3203,0.4760807581276394
6,5,2831,0.43698653418169564
5,5,2982,0.45378844009313
6,2,2793,0.4502931247546762
6,2,2782,0.3986242315518407
5,5,3010,0.4829423367725949
5,2,2992,0.47807719652296465
3,11,3568,0.39947607944740704
2,11,4339,0.25104395191955464
3,7,3454,0.41550693313108455
3,7,3456,0.41941466711400444
2,11,4312,0.2553831738639998
2,7,4254,0.2613676359094126
2,7,4370,0.27174623773365036
4,7,3180,0.4672589939489704
2,9,4437,0.24890348516330385
2,9,4376,0.2388996328800801
4,7,3237,0.5019775020829407
4,9,3162,0.46205858585496995
5,12,2976,0.48279001393432464
7,12,2662,0.33396203101985855
5,3,2996,0.5071004313893863
5,3,2983,0.523429246348414
7,12,2673,0.37847455026670285
7,3,2655,0.3738063737116213
7,4,2668,0.41821394880029406
3,4,3485,0.4273116995114863
7,11,2678,0.3605864389329194
7,11,2692,0.4685000128571506
3,4,3509,0.4322897502139662
3,11,3541,0.4057624142238332
4,9,3323,0.48980874958272413
6,9,2852,0.4409233248528859
4,6,3191,0.46928298543474267
4,6,3209,0.5108237162479028
6,9,2810,0.40695480887450186
6,6,2833,0.39846955851159627
4,3,3205,0.48216875050164365
7,3,2675,0.39933404420784324
4,5,3153,0.4912791348957599
4,5,3221,0.4814246670362119
7,3,2663,0.4359058310708477
7,5,2658,0.367940385449127
7,8,2704,0.4247953463395324
4,8,3204,0.483420568390607
7,10,2690,0.38482267903349676
7,10,2682,0.40867112060744937
4,8,3202,0.4752664136732154
4,10,3201,0.475337045252878
6,5,2831,0.4395424049962908
5,5,2990,0.49214270015055717
6,2,2790,0.367855251017581
6,2,2757,0.4598586448448647
5,5,3011,0.5208976170859156
5,2,2934,0.4919776317508464
3,11,3658,0.4021967318366908
2,11,4383,0.24151576009791187
3,7,3570,0.4143027484932562
3,7,3555,0.4102769229715659
2,11,4530,0.250299717802575
2,7,4107,0.2659052651128848
2,7,4111,0.2599463759408056
4,7,3210,0.47944072051935893
2,9,4594,0.2458232169714878
2,9,4308,0.2797043439920548
4,7,3234,0.483437640911083
4,9,3191,0.491439810658169
5,12,3014,0.4949586665200598
7,12,2654,0.3800288872817039
5,3,2998,0.49305477930909336
5,3,2988,0.4988915952144788
7,12,2687,0.361565518962911
7,3,2682,0.35788122731198735
7,4,2628,0.3510122753990472
3,4,3454,0.42984137297797864
7,11,2704,0.4043831020468458
7,11,2727,0.4333173068983731
3,4,3493,0.41370399735650887
3,11,3569,0.3988777535541881
4,9,3256,0.4776900143349394
6,9,2857,0.40459114756781034
4,6,3228,0.4585157604232901
4,6,3214,0.46393221491875924
6,9,2853,0.4254064287105739
6,6,2808,0.4176727284479673
4,3,3144,0.491668585515747
7,3,2634,0.48772315338566763
4,5,3135,0.5007692556533916
4,5,3246,0.4602894060951257
7,3,2646,0.3919313587222888
7,5,2688,0.35732653946671866
7,8,2676,0.38789144714647805
4,8,3209,0.46352311348697284
7,10,2679,0.4527476889383162
7,10,2711,0.4010888444527989
4,8,3161,0.48084500821203835
4,10,3255,0.44673568009943665
6,5,2839,0.3592230661309934
5,5,3027,0.48137022661648987
6,2,2762,0.5397548368343985
6,2,2782,0.43257229425395205
5,5,3028,0.46392646273327354
5,2,2954,0.5061203231046072
3,11,3574,0.4023274699876087
2,11,4327,0.23329987023402698
3,7,3575,0.412327378212203
